timestamp,object_id,plate_text,vehicle_type,direction,city,engine_size,kana
2025-09-08 15:59:34,01(3),3,car,in,,,
2025-09-08 15:59:37,02,世,car,in,,,
2025-09-08 16:04:53,01,,car,in,,,
2025-09-08 16:04:57,02,世,car,in,,,
2025-09-08 16:06:08,01,car,in,,,
2025-09-08 16:06:11,02,car,in,,,
2025-09-08 16:07:09,01,car,in,,
2025-09-08 16:07:13,02,car,in,,
2025-09-08 16:07:17,03,car,in,,
2025-09-08 16:08:11,01,car,in,,
2025-09-08 16:23:34,01,,car,in,,,
2025-09-08 16:23:36,02(7),7,car,in,,,
2025-09-08 16:23:38,03,世,car,in,,,
2025-09-08 16:25:07,01(82-26),82-26,car,in,,82,
2025-09-08 16:25:10,02,,car,in,,,
2025-09-08 16:31:37,01,,car,in,,,
2025-09-08 16:31:45,02,,car,in,,,
2025-09-08 16:33:13,01,,car,in,,,
2025-09-08 16:33:16,02(7),7,car,in,,,
2025-09-08 16:33:20,03,世,car,in,,,
2025-09-08 16:33:55,04(310),世田谷310,car,in,,,
2025-09-08 16:44:26,01,,car,in,,,
2025-09-08 16:44:30,02(7),7,car,in,,,
2025-09-08 16:44:33,03,世,car,in,,,
2025-09-08 16:45:28,04(09),09,car,in,,,
2025-09-08 16:45:48,01,,car,in,,,
2025-09-08 16:45:53,02(7),7,car,in,,,
2025-09-08 16:45:56,03,世,car,in,,,
2025-09-08 16:47:26,04(09),09,car,in,,,
2025-09-08 16:58:21,01,,car,in,,,
2025-09-08 16:58:28,02(3),世,car,in,,,
2025-09-08 16:58:28,03,世日,car,in,,,
2025-09-08 16:59:02,04(310),世田谷310,car,in,,,
2025-09-08 17:11:50,01,,car,in,,,
2025-09-08 17:11:55,02(3),世,car,in,,,
2025-09-08 17:11:57,03,世日,car,in,,,
2025-09-08 17:12:31,04(310),世田谷310,car,in,,,
