timestamp,object_id,plate_text,vehicle_type,direction,city,engine_size,kana
2025-09-09 10:43:31,01,,car,in,,,
2025-09-09 10:43:36,02(3),世,car,in,,,
2025-09-09 10:43:38,03,世日,car,in,,,
2025-09-09 10:43:39,01,,car,out,,,
2025-09-09 10:43:43,03,,car,out,,,
2025-09-09 10:43:52,02,,car,out,,,
2025-09-09 10:43:54,01(310),·世田谷310,car,in,,,
2025-09-09 10:44:05,01,,car,out,,,
2025-09-09 10:44:20,01(310),世田谷310,car,in,,,
2025-09-09 10:44:28,02(70-50),70-50,car,in,,,
2025-09-09 10:44:30,01,,car,out,,,
2025-09-09 10:44:34,02(70-50),70-50,car,out,,,
2025-09-09 10:44:36,02(70-50),70-50,car,in,,,
2025-09-09 10:44:40,02(70-50),70-50,car,out,,,
