timestamp,object_id,vehicle_type,direction,region_class,suffix,kana,city
2025-09-14 18:18:04,01(21-39),car,in,大版551,21-39,,大版
2025-09-14 18:24:00,01(21-39),car,in,,21-39,,
2025-09-14 18:24:32,01(21-39),car,in,大版551,21-39,,大版
2025-09-14 18:48:00,01(21-39),car,in,,21-39,,
2025-09-14 18:51:59,01(21-39),car,in,大551,21-39,,大
2025-09-14 18:52:24,01(21-39),car,in,大551,21-39,,大
2025-09-14 18:52:50,01(21-39),car,in,大版551,21-39,,大版
2025-09-14 19:17:35,01(11-83),car,in,,11-83,,
2025-09-14 19:17:42,01(11-83),car,out,,11-83,,
2025-09-14 19:22:32,01(21-39),car,in,,21-39,,
2025-09-14 19:22:37,01(21-39),car,out,,21-39,,
2025-09-14 19:47:25,01(83-74),car,in,神户304,83-74,は,神户
