timestamp,object_id,vehicle_type,direction,city,engine_size,kana,four-digit number
2025-10-17 07:07:22,01,car,in,大阪,551,,21-39
2025-10-17 07:08:38,01,car,in,大阪,551,,21-39
2025-10-17 07:18:46,01,car,in,大阪,551,,21-39
2025-10-17 07:30:28,02,car,in,大版,551,,21-39
2025-10-17 07:30:34,03,car,in,大饭,551,,21-39
2025-10-17 07:30:35,04,car,in,大阪,551,,21-39
2025-10-17 07:30:53,06,car,out,大阪,551,,21-39
2025-10-17 07:30:53,06,car,in,大阪,551,,21-39
2025-10-17 07:30:54,07,car,in,大阪,551,,21-39
2025-10-17 08:13:38,01,car,in,大阪,551,,21-39
2025-10-17 08:16:02,01,car,in,世田谷,310,,70-50
2025-10-17 08:18:57,01,car,in,世田谷,310,,70-50
2025-10-17 08:21:12,01,car,in,世田谷,310,,70-50
2025-10-17 08:25:57,01,car,in,大版,551,,21-39
2025-10-17 08:27:21,01,car,in,,,ふ,
2025-10-17 10:56:51,01,car,in,世田谷,310,,70-50
2025-10-17 10:58:02,01,car,in,大阪,551,,21-39
2025-10-17 11:11:58,01,car,in,世田谷,310,ふ,70-50
2025-10-17 11:57:41,01,car,in,世田谷,310,,70-50
2025-10-17 11:59:25,01,car,in,大阪,551,,21-39
2025-10-17 12:00:35,01,car,in,大阪,551,,21-39
2025-10-17 12:00:36,02,car,in,,,,
2025-10-17 12:01:05,01,car,in,大饭,551,,21-39
2025-10-17 12:01:08,02,car,in,,,,
2025-10-17 12:01:31,03,car,in,,,,
